Sample,Postcode,Address,Latitude,Longitude,moll_lat,moll_lon,Rurality
225,,,42.7,-83.6,5088901.716558093,-6917843.016111365,11
226,,,36.5,-87.1,4394555.66572155,-7623309.317713813,11
227,,,34.7,-86.7,4188811.7770359707,-7695527.243883815,11
228,,,40.3,-78.9,4822904.1974516725,-6682296.899376978,21
230,,,36.1,-97.1,4348986.041640936,-8525788.19792523,21
231,,,39,-77.1,4677320.035485608,-6607112.988554216,30
232,,,37.3,-120.5,4485428.651890568,-10477795.173591917,30
233,,,40.5,-80,4845210.023486283,-6762873.405523545,12
234,,,42.4,-71.4,5055855.158535961,-5926130.532344188,12
235,,,38.2,-85.8,4587227.316813161,-7404068.640735119,30
236,,,37.9,-122.1,4553346.138548651,-10563573.479207471,12
237,,,35.3,-82.4,4257585.919552411,-7280493.248307449,12
238,,,39.7,-105,4755838.955352894,-8941817.630912649,30
239,,,32.7,-80,3958226.452234754,-7204591.487120561,11
240,,,38.9,-77,4666079.097486394,-6604366.283218202,30
241,,,34.2,-81.2,4131356.186610764,-7234289.814430158,11
242,,,45.5,-122.6,5394399.796378014,-9847812.821021732,30
243,,,37.7,-121.8,4530729.844432588,-10555457.807629457,30
244,,,39,-76.9,4677320.035485608,-6589973.914653948,30
245,,,39.7,-105,4755838.955352894,-8941817.630912649,30
247,,,43.5,-87.8,5176733.604059025,-7206093.661749976,11
248,,,40,-105.3,4789399.149897031,-8942881.737477522,11
249,,,41.7,-73.4,4978517.873315134,-6134345.360044662,11
250,,,42.3,-71.7,5044826.500767855,-5956967.525404402,21
251,,,40.6,-74.9,4856353.621740942,-6325824.6690001665,12
252,,,35.9,-78.9,4326168.419072049,-6938722.796317693,21
253,,,36,-79,4337579.950562795,-6942032.701144025,12
254,,,40.6,-79.9,4856353.621740942,-6748109.35985465,21
255,,,42.6,-71.2,5077892.78467351,-5897693.170055948,21
256,,,33.8,-118.1,4085299.0747620966,-10552714.122087106,30
257,,,44.9,-93.3,5329392.73674441,-7544115.8821365675,30
258,,,39.6,-75.8,4744640.050997059,-6460983.812873916,12
260,,,34.7,-83.1,4188811.7770359707,-7375989.780469954,11
261,,,35,-114.4,4223222.5789299365,-10131134.667347107,11
262,,,32.9,-96.7,3981375.261976042,-8696359.403165577,30
263,,,40.4,-76.8,4834060.209486077,-6498407.877453956,11
264,,,47.6,-122.9,5619873.989038884,-9634502.96051209,11
265,,,35.8,-78.6,4314751.463942467,-6917780.38976148,30
266,,,32.9,-80.2,3981375.261976042,-7212492.4936285345,11
267,,,42.6,-71.3,5077892.78467351,-5905976.446980184,21
268,,,43.3,-90.4,5154815.8175898185,-7434866.096611365,11
269,,,41.8,-72.5,4989585.492155518,-6053218.020431346,23
270,,,44.9,-92.9,5329392.73674441,-7511772.4056858225,30
271,,,36,-79,4337579.950562795,-6942032.701144025,12
272,,,35.8,-78.8,4314751.463942467,-6935382.884391915,30
273,,,42.4,-71.1,5055855.158535961,-5901230.824225093,30
274,,,38.8,-77.1,4654832.224325931,-6618757.692910426,30
275,,,27.7,-82.6,3373476.2702575917,-7677633.290202502,10
276,,,39.8,-75.1,4767031.784989593,-6389723.729127479,21
277,,,37.3,-79.9,4485428.651890568,-6947517.297676302,21
278,,,42.4,-71.4,5055855.158535961,-5926130.532344188,12
279,,,35,-101.9,4223222.5789299365,-9024148.79897439,11
280,,,41.7,-72.7,4978517.873315134,-6075843.428818079,30
281,,,36.1,-78.6,4348986.041640936,-6901410.425920938,11
282,,,37.5,-77.5,4508090.636651801,-6727608.327502538,23
283,,,42.5,-71.5,5066877.25924736,-5928494.38685416,12
284,,,35,-85.1,4223222.5789299365,-7536359.791881457,21
285,,,41.9,-87.7,5000646.662737804,-7315138.032947921,30
286,,,40,-75.2,4789399.149897031,-6386559.417457832,30
287,,,40,-75.1,4789399.149897031,-6378066.652275042,30
288,,,40.9,-73.3,4889746.944553853,-6173233.053466718,21
289,,,34.1,-117.7,4119849.5791734387,-10493896.275519175,30
290,,,45.5,-93.6,5394399.796378014,-7518395.4326886935,11
292,,,47.7,-122.3,5630529.2916253945,-9575915.87838249,30
293,,,42.5,-87.9,5066877.25924736,-7288316.87558714,11
294,,,38.9,-77,4666079.097486394,-6604366.283218202,30
295,,,35.9,-79.1,4326168.419072049,-6956311.447258928,12
296,,,35.2,-106.3,4246136.773848659,-9399417.406326218,11
297,,,34.1,-84.7,4119849.5791734387,-7551682.366495107,12
298,,,39.7,-86.2,4755838.955352894,-7340806.4741397165,30
299,,,29.6,-82.4,3596995.5683894837,-7573304.111771072,11
300,,,37.3,-107.6,4485428.651890568,-9356105.897746809,11
301,,,42.3,-71.2,5044826.500767855,-5915426.608211903,30
302,,,36.8,-103.8,4428674.934840166,-9062888.746935619,11
303,,,39,-77,4677320.035485608,-6598543.451604083,30
304,,,37.8,-122.5,4542040.864253972,-10607163.250966983,10
305,,,40.1,-88.3,4800573.6500055995,-7492230.818261097,30
306,,,38.8,-97.6,4654832.224325931,-8378608.960156389,23
307,,,35.8,-78.8,4314751.463942467,-6935382.884391915,30
308,,,37.9,-122.2,4553346.138548651,-10572225.054538518,12
309,,,28.1,-81.8,3420659.5568959606,-7585839.061399722,23
310,,,39.7,-75.7,4755838.955352894,-6446624.71104845,30
311,,,35.9,-79.1,4326168.419072049,-6956311.447258928,12
312,,,41.6,-74.5,4967443.824256047,-6232334.712859011,12
313,,,42.4,-72.5,5055855.158535961,-6017429.462114196,12
314,,,28.2,-82.2,3432445.012437962,-7618513.18228269,21
316,,,36.1,-80.3,4348986.041640936,-7050677.572537549,21
317,,,37,-79.9,4451393.266128351,-6964748.851608167,13
318,,,38,-81.2,4564645.650180879,-7019107.58799679,12
319,,,35.8,-79.1,4314751.463942467,-6961786.626337568,13
320,,,33.6,-96.2,4062240.00108359,-8608336.955138389,11
321,,,43.2,-77.6,5143846.831917414,-6388717.751022739,30
322,,,30.6,-96.4,3714006.3811190226,-8804469.46924483,11
323,,,36.1,-78.9,4348986.041640936,-6927751.687088576,12
324,,,57,-135.3,6585573.908968315,-9266130.029960256,11
325,,,30,-90.1,3643853.5640796954,-8260446.435593734,30
326,,,42.4,-71.3,5055855.158535961,-5917830.6296378225,13
327,,,29.7,-95.8,3608716.7046406446,-8799449.200663848,30
328,,,40.7,-74,4867490.986514479,-6243953.318520533,30
329,,,37.8,-122.4,4542040.864253972,-10598504.342190685,30
330,,,34,-118.5,4108337.84708608,-10572991.01370933,30
331,,,43.5,-89.7,5176733.604059025,-7362034.185181923,11
332,,,42.4,-71.1,5055855.158535961,-5901230.824225093,30
333,,,44.9,-93.2,5329392.73674441,-7536030.013023882,30
334,,,40.7,-74,4867490.986514479,-6243953.318520533,30
335,,,38.7,-78.8,4643579.433349574,-6770622.664268828,12
336,,,42,-93.6,5011701.366996126,-7799591.795529908,12
337,,,42.5,-89,5066877.25924736,-7379524.481538743,11
338,,,37.7,-121.7,4530729.844432588,-10546791.58611252,11
339,,,42.1,-80,5022749.586837975,-6659744.54079935,12
340,,,33.8,-117.9,4085299.0747620966,-10534843.310703386,30
341,,,41.7,-72.2,4978517.873315134,-6034056.335084804,21
342,,,37.6,-122.3,4519413.09620004,-10607707.09191161,10
343,,,47.6,-122.4,5619873.989038884,-9595306.447247192,30
344,,,47.2,-122.5,5577177.512594201,-9649150.252562476,30
345,,,26.3,-81.8,3207824.7779730544,-7662268.815710879,21
346,,,42.3,-83.7,5044826.500767855,-6953949.538024387,23
347,,,37.6,-122,4519413.09620004,-10581686.551211907,12
348,,,31.9,-106.4,3865436.6832570103,-9634905.302828683,30
349,,,30.2,-92.1,3667255.8538518026,-8433191.694602743,21
350,,,47.1,-122.4,5566484.676306825,-9652696.313769007,30
351,,,40.8,-74,4878622.100046948,-6238077.569642651,30
352,,,41.8,-71.4,4989585.492155518,-5961376.091845492,30
353,,,34.8,-112.4,4200287.290140791,-9969141.626497658,11
354,,,44.9,-89.7,5329392.73674441,-7253024.594079853,11
355,,,36,-84.3,4337579.950562795,-7407764.008942296,21
356,,,26.1,-80.3,3184097.178776717,-7529784.064354856,30
357,,,39,-92.3,4677320.035485608,-7909682.604974763,12
358,,,39.1,-76.6,4688555.02095648,-6558456.730617628,21
359,,,38.8,-89.9,4654832.224325931,-7717591.65489815,12
360,,,45.4,-122.8,5383583.014860616,-9874873.587535242,30
361,,,42.3,-71.4,5044826.500767855,-5932042.975088903,30
362,,,40.1,-83,4800573.6500055995,-7042527.269713149,30
363,,,36.1,-78.4,4348986.041640936,-6883849.585142514,11
364,,,34.5,-77.4,4165845.096242587,-6880376.122310063,12
366,,,43.5,-90,5176733.604059025,-7386656.37309223,11
367,,,40.6,-80.3,4856353.621740942,-6781892.135123007,21
368,,,32.9,-117.2,3981375.261976042,-10539951.62410554,30
369,,,32.6,-97.4,3946644.695701931,-8777700.154605238,13
370,,,32.7,-117.1,3958226.452234754,-10545720.78927272,30
371,,,38,-122.3,4564645.650180879,-10571882.487832604,30
372,,,35.8,-78.6,4314751.463942467,-6917780.38976148,30
373,,,37,-92.6,4451393.266128351,-8071786.528897574,11
374,,,45.5,-122.6,5394399.796378014,-9847812.821021732,30
375,,,42.1,-72.6,5022749.586837975,-6043718.17077541,30
376,,,39.1,-94.6,4688555.02095648,-8099608.442773207,30
377,,,42.4,-71.1,5055855.158535961,-5901230.824225093,30
378,,,40.4,-79.9,4834060.209486077,-6760713.403757438,30
379,,,33.3,-81.1,4027613.6124500223,-7272786.875522303,11
380,,,34.1,-117.7,4119849.5791734387,-10493896.275519175,30
